hidden_dim,n_layers,dropout,best_val_loss,final_epoch,wall_time_s,test_mse_norm,test_mae_TAC,test_r2_TAC,test_mae_carbon_eff,test_r2_carbon_eff,test_mae_LCOM,test_r2_LCOM
64,2,0.1,0.30730256557464597,158,257.07516419999996,0.3221428510877821,149370.265625,0.9915025553492565,0.0150457713752985,0.8989981969003087,33.20762252807617,0.24873042987735428
64,3,0.1,0.3144506279627482,158,201.4258213,0.3220231374104818,155560.984375,0.990713921446709,0.015160961076617241,0.8949799483798372,32.9931755065918,0.25397207434671665
64,4,0.1,0.3112660880883535,139,223.26288419999997,0.32145452711317274,139744.765625,0.9929938608314879,0.014923855662345886,0.9026685676713463,32.986934661865234,0.245316899274986
128,2,0.1,0.3159588046868642,371,700.5878219000001,0.35919496324327255,200469.625,0.9828520313763128,0.015063607133924961,0.8913438685886288,34.68562316894531,0.16585134874988205
128,3,0.1,0.31208263834317523,193,724.5676355,0.3229622565375434,128540.2109375,0.9934331013532578,0.014736155048012733,0.8955198071484988,32.834800720214844,0.24820098294495396
128,4,0.1,0.3158099853992462,189,816.8949132000002,0.3208966742621528,121115.46875,0.9941297987238836,0.014810215681791306,0.8980933512431607,32.87978744506836,0.2503976724084376
