baseline,name,in_dim,hidden_dim,n_hidden_layers,best_val_loss,final_epoch,wall_time_s,test_r2_TAC,test_mae_TAC,test_r2_carbon_eff,test_mae_carbon_eff,test_r2_LCOM,test_mae_LCOM
A,design-only,36,128,3,0.5811161398887634,40,10.24605,0.08685112391547523,1346584.9866666666,0.44140428612020643,0.034774058262507124,0.7811913337131099,16.24607462565104
B,design + edge-flat,166,128,3,0.030988549813628197,106,76.8859614,0.9935504261982375,125416.93333333333,0.988191909594971,0.0050657164057095845,0.9247925991669513,8.417258911132812
