episode,reward,reward_before_penalty,gpr_sigma,variance_penalty,gnn_uncertainty,gnn_confidence,gnn_penalty,load,T,P,meoh_tph,price
0,-6.655029296875,-5.671377420593788,0.0,0.0,0.492825984954834,0.6698704404118846,0.983651969909668,0.6438522692627971,240.78394743058567,69.17460296713226,17.317582194872458,112.74763488769531
0,-8.5302734375,-8.252624989202074,0.0,0.0,0.13982442021369934,0.877328106211758,0.2776488404273987,0.7448511073266552,254.6420652680272,79.0860310976592,19.528837044687883,118.93370819091797
0,21.6555118560791,22.234823629874082,0.0,0.0,0.2906559407711029,0.7747998272897962,0.5793118815422058,0.8124600852025111,232.91562949680656,90.9697622711923,22.455282224641127,-16.025266647338867
0,-1.2463915348052979,-0.9969915016501592,0.0,0.0,0.12570002675056458,0.8883361252878272,0.24940005350112915,0.6391415708407553,255.47484355699703,94.34838336275418,17.86484493405579,89.66634368896484
0,20.634950637817383,21.158613172761534,0.0,0.0,0.2628314197063446,0.7918713332556592,0.5236628394126892,0.7380929429532442,236.9879787242993,97.97898018826962,20.86146797712232,-18.851530075073242
0,0.914712131023407,0.9856227582201955,0.0,0.0,0.036455314606428146,0.9648269307005568,0.07091062921285629,0.7344946749449718,256.75448740902465,86.47599386116839,18.71751872328186,71.74456787109375
0,-0.07893821597099304,0.2661982183770362,0.0,0.0,0.1735682189464569,0.8521021478391144,0.3451364378929138,0.6812134545255366,259.5589148470905,89.19305755776458,18.78262563572357,81.4665298461914
0,-2.9321281909942627,-2.6905190862542874,0.0,0.0,0.12180452048778534,0.8914209042099224,0.24160904097557068,0.5060850315139755,259.3941272233499,95.01555429125516,14.131696628820151,103.1849365234375
0,-5.648468971252441,-5.446758012098205,0.0,0.0,0.1018555611371994,0.9075599699909155,0.2017111222743988,0.3585760636123265,262.26647584312025,87.05127731032577,8.645564223799031,127.47830963134766
0,-2.7323691844940186,-2.503260259042459,0.0,0.0,0.11555445939302444,0.8964152234612572,0.2291089187860489,0.25759711564526677,258.87772949870856,77.75466389378133,6.104796346751998,106.42390441894531
0,-1.4221514463424683,-0.9725613064905506,0.0,0.0,0.22579509019851685,0.8157970349171904,0.4495901803970337,0.18510482103290166,260.8170690950574,83.7002616254098,4.721624884945671,95.6949691772461
0,-0.8512747883796692,-0.516803128596397,0.0,0.0,0.16823583841323853,0.8559915447879551,0.33447167682647705,0.13638116989000046,256.0569033829779,81.6695145227792,3.576460746284224,92.56075286865234
0,-0.4865586757659912,-0.38263486029460775,0.0,0.0,0.052961912006139755,0.9497019679418082,0.10392382401227951,0.10505629729652785,254.12056137166473,82.8603636341775,2.5610379150700004,86.42378234863281
0,-1.0348742008209229,-0.5275502144358318,0.0,0.0,0.2546619772911072,0.7970274210102882,0.5073239545822144,0.08287145700054435,253.88027275126205,83.44465160123958,2.0230716115600336,96.00859069824219
0,-0.6283283829689026,-0.5261077040561665,0.0,0.0,0.05211033299565315,0.9504706575333403,0.1022206659913063,0.07257305586534686,254.28200954457634,80.98508462832109,1.8141190213180267,100.58491516113281
0,-0.687185525894165,0.07546112379476995,0.0,0.0,0.38232332468032837,0.7234197543698807,0.7626466493606567,0.09132763646978699,253.8942320061749,69.60649035431663,2.2401388711780132,70.57121276855469
0,-0.30482417345046997,-0.022848788250775787,0.0,0.0,0.14198769629001617,0.8756661768324715,0.28197539258003235,0.10536512068964038,256.5698577023062,77.95371529477156,2.795996540191742,80.51580047607422
0,-0.7821952104568481,-0.37307251987457546,0.0,0.0,0.2055613398551941,0.8294891076385337,0.4091226797103882,0.12294214797456955,255.94031672957107,67.70129708354865,3.3777225088016882,93.59394836425781
0,-1.981931209564209,-1.1863870746338172,0.0,0.0,0.39877206087112427,0.7149127638260248,0.7955441217422485,0.11677760067291981,254.5522277617582,62.37314089508413,2.9058185276783997,111.60342407226562
0,-2.4580349922180176,-1.9907087096707377,0.0,0.0,0.23466315865516663,0.8099375064282561,0.46732631731033325,0.09365581401085404,249.52995146632833,56.28346707931625,2.33948419081496,151.7666473388672
0,-2.4724576473236084,-2.018572726199516,0.0,0.0,0.22794249653816223,0.8143703820164365,0.45388499307632446,0.07065729647404834,248.59903640210948,56.1868154839023,1.8289396218687635,179.67019653320312
