episode,reward,reward_before_penalty,gpr_sigma,variance_penalty,load,T,P,meoh_tph,price
0,-1.0651610361689787,-1.0651610361689787,0.0,0.0,0.6614373858876293,267.41582914445286,87.5913716133725,23.52633387579412,112.74763488769531
0,0.2080598074512415,0.2080598074512415,0.0,0.0,0.5129828229819821,273.6806928925389,96.22539427209769,20.54775947427354,118.93370819091797
0,21.057031034416354,21.057031034416354,0.0,0.0,0.4479090593946537,276.8042288925585,98.80942202308438,22.979827298694357,-16.025266647338867
0,10.967803067934973,10.967803067934973,0.0,0.0,0.31520948567835416,278.3686824394433,99.5975598832925,23.8206705790837,89.66634368896484
0,19.818532655054646,19.818532655054646,0.0,0.0,0.4545858167727147,278.96783426171385,97.28091209950924,21.627615546383495,-18.851530075073242
0,11.549708637785008,11.549708637785008,0.0,0.0,0.32631262284353857,278.6938780683569,91.56699915475511,22.30504956820068,71.74456787109375
0,12.491803608641941,12.491803608641941,0.0,0.0,0.2355124115872864,278.8087615439441,83.61567851229567,22.034307329513894,81.4665298461914
0,12.86536885462603,12.86536885462603,0.0,0.0,0.17075971781710175,278.830635044433,81.89165927268284,21.96326267005218,103.1849365234375
0,13.228807785382863,13.228807785382863,0.0,0.0,0.12451913767704936,278.8539924489743,81.92469306378727,21.818692445465086,127.47830963134766
0,15.179469928678936,15.179469928678936,0.0,0.0,0.09324048627967338,278.78994178112777,82.30963448163618,22.196771256770386,106.42390441894531
0,15.676651179890946,15.676651179890946,0.0,0.0,0.07190047769435536,278.8590974774779,81.57268084131702,21.795949371254487,95.6949691772461
0,16.496461309663335,16.496461309663335,0.0,0.0,0.05743182249945207,278.7739396078796,82.76034795356698,22.272758348560025,92.56075286865234
0,16.39953393178424,16.39953393178424,0.0,0.0,0.04756137215750677,278.86359333909604,81.9397773597029,21.759673831127415,86.42378234863281
0,16.916778413695475,16.916778413695475,0.0,0.0,0.04037803350448692,278.7627292867355,83.28002967397532,22.313998295415526,96.00859069824219
0,16.494777955683904,16.494777955683904,0.0,0.0,0.034889420439720736,278.87416249493026,82.25722896444846,21.68961322216414,100.58491516113281
0,17.529449387538573,17.529449387538573,0.0,0.0,0.03349223375215571,278.72153559316826,83.54978984411969,22.541116496359514,70.57121276855469
0,16.639797184278404,16.639797184278404,0.0,0.0,0.03132484900877981,278.9020885973654,81.77728970592145,21.52832537368375,80.51580047607422
0,17.55094784543181,17.55094784543181,0.0,0.0,0.029508264696084224,278.6896765008311,83.79470348282136,22.713639928057177,93.59394836425781
0,16.36503890818904,16.36503890818904,0.0,0.0,0.026626364673016403,278.9290972836187,81.22961206413352,21.366594263035378,111.60342407226562
0,17.231390475736163,17.231390475736163,0.0,0.0,0.024023946523056977,278.70759063399686,82.98987818711115,22.659443057064944,151.7666473388672
0,15.775751289189438,15.775751289189438,0.0,0.0,0.021570137619545647,278.9887440474672,80.81857447908256,21.00115966562253,179.67019653320312
0,17.355715890214412,17.355715890214412,0.0,0.0,0.020884639060198676,278.6901728049836,83.6604221972404,22.719698952054372,160.4593048095703
0,16.224311761837996,16.224311761837996,0.0,0.0,0.01988845589259226,278.94907504995274,79.28260847069555,21.23880634138006,151.32122802734375
0,18.334556053191825,18.334556053191825,0.0,0.0,0.02171156372377546,278.58925310114824,82.96706098359148,23.40738873965608,91.9436264038086
0,16.37423130899358,16.37423130899358,0.0,0.0,0.02192724740529547,278.97510750760534,78.86440570962823,21.061019169913543,93.05842590332031
0,18.671698825601794,18.671698825601794,0.0,0.0,0.02415562368648393,278.53976932997455,82.72497265282988,23.763877040730705,77.66584014892578
0,16.670902022797275,16.670902022797275,0.0,0.0,0.02931610234630108,278.9510675263154,79.28225238544857,21.22535924204183,52.508148193359375
0,18.58884478862382,18.58884478862382,0.0,0.0,0.04029106539126635,278.54653290866554,85.38149273223614,23.461275926314556,33.58361053466797
0,16.801138509043085,16.801138509043085,0.0,0.0,0.04978536277160525,278.9587217765984,82.4006073350517,21.199803904647474,21.09542465209961
0,18.550496074327935,18.550496074327935,0.0,0.0,0.053683099114913105,278.5125945308773,86.66492173298622,23.56285509213544,33.6754264831543
0,16.61607544817913,16.61607544817913,0.0,0.0,0.05213140634180392,278.94440761700116,80.2551268494857,21.270330573360184,36.775245666503906
0,18.375485525165313,18.375485525165313,0.0,0.0,0.046654168081650134,278.57040937490683,82.63331753482618,23.565054979550172,51.89345932006836
0,16.259543530497066,16.259543530497066,0.0,0.0,0.040822776475209294,278.9733150390159,77.3854046537584,21.065577563228405,62.4455680847168
0,18.25168820851073,18.25168820851073,0.0,0.0,0.037292300286949485,278.5780729247814,82.47809393030721,23.528674997876504,72.9229507446289
0,16.075787416446026,16.075787416446026,0.0,0.0,0.03227723145101723,278.97371358641414,77.75877775794959,21.063959014442617,97.43082427978516
0,18.128979202453394,18.128979202453394,0.0,0.0,0.03041055552691201,278.5968574035586,82.80257000341027,23.37264168624497,87.49861907958984
0,16.244466902635914,16.244466902635914,0.0,0.0,0.028390244908839322,278.981946157834,78.3179095203102,21.009583249610106,83.95989227294922
0,18.47044171843023,18.47044171843023,0.0,0.0,0.029247009145614407,278.562018000792,83.14420403285087,23.57103302765757,69.96142578125
0,16.477858083172233,16.477858083172233,0.0,0.0,0.029095645120916596,278.9689209877007,78.71081492079276,21.102109192435464,63.590293884277344
0,18.52075186908655,18.52075186908655,0.0,0.0,0.030612668156449478,278.5638977497097,83.05281585685306,23.567444548299484,61.05662155151367
0,16.439823486686468,16.439823486686468,0.0,0.0,0.029945954215404528,278.969006369972,78.75172579953639,21.101751375325904,66.24922943115234
0,18.584354525788832,18.584354525788832,0.0,0.0,0.031629724475059906,278.55850831193914,82.90745667418709,23.618023156186055,56.86446762084961
0,16.299590050902864,16.299590050902864,0.0,0.0,0.02924710534077863,278.96261902413363,78.91506537139675,21.146150363534026,88.5193862915039
0,18.30000076209752,18.30000076209752,0.0,0.0,0.029381644879215817,278.5839553860902,82.93871181112605,23.445023381351948,77.36605072021484
0,16.327000911923605,16.327000911923605,0.0,0.0,0.028168978798492453,278.97438125749824,78.720624163455,21.064830174191716,80.10977172851562
0,16.642850043536793,16.642850043536793,0.0,0.0,0.025145001963449112,278.73923530648347,83.86774517139978,22.420108265986094,198.2110137939453
0,16.821199447322993,16.821199447322993,0.0,0.0,0.02442844751375001,278.8701974872261,81.79912588906642,21.722276261924637,98.47657012939453
0,17.59878643591901,17.59878643591901,0.0,0.0,0.024634113212704232,278.7190953256443,82.6214729962121,22.612936509609664,92.4593276977539
0,16.63145430538208,16.63145430538208,0.0,0.0,0.02376675229290694,278.9089251042284,80.57833566717417,21.497407375032033,101.41703796386719
0,18.258438653086152,18.258438653086152,0.0,0.0,0.028127166973687202,278.64243557457513,81.9353781415585,23.150587094812636,55.848976135253906
0,16.594970819701203,16.594970819701203,0.0,0.0,0.03463779026567528,278.96358228924066,79.83556034188162,21.1447840750909,45.847408294677734
0,18.582615813149044,18.582615813149044,0.0,0.0,0.038284634490904336,278.52369177938596,84.75783820754495,23.667002381031516,51.40828323364258
0,16.607727363337755,16.607727363337755,0.0,0.0,0.040679201938776166,278.9465687900836,80.44839180650176,21.256929349428408,46.33051681518555
0,18.382927540918672,18.382927540918672,0.0,0.0,0.03921832325125495,278.5499445512918,84.78400713545639,23.493823805450567,55.24549102783203
0,16.51989361508642,16.51989361508642,0.0,0.0,0.0366687533999019,278.96058018580214,77.59563762647676,21.158652685755168,51.693382263183594
