variant,mean_reward,std_reward,mean_co2_util,mean_extrap_frac,std_extrap_frac,mean_gnn_uncertainty,mean_gnn_penalty
variant_a,2880.696662903562,39.82672892290854,0.8362681735294585,0.0,0.0,,
variant_b,3200.8320554652028,50.551375227961096,0.9348905977361136,0.8357142857142857,0.0251413239070748,,
variant_c,2915.579746297085,35.82783153018934,0.8478952679194961,0.0,0.0,,
original_v1,3194.394287985356,52.08755120507683,0.9349958103573712,0.9607142857142856,0.0171899155692781,,
original_on_v2,3115.737463953278,74.22446626668557,0.9164602442354844,0.0,0.0,,
baseline,496.7098215818038,821.2337365152456,0.9378048544327816,0.0,0.0,,
variant_gnn,719.9408386728552,590.089060485059,0.8081333763481325,0.001488095238095238,0.002577456558882258,0.18337116114063454,0.36474232228126924
