episode,reward,reward_before_penalty,gpr_sigma,variance_penalty,load,T,P,meoh_tph,price
0,-0.0638762306750715,-0.0638762306750715,0.0,0.0,0.6636074539132183,242.4342007264841,66.63012817465179,24.846032826359288,112.74763488769531
0,-4.086898243794916,-4.086898243794916,0.0,0.0,0.7645252177392527,236.21710036324205,68.98903845239553,24.84519316745155,118.93370819091797
0,24.32523521993986,24.32523521993986,0.0,0.0,0.8351676524174769,233.108550181621,69.69671153571866,24.844515100239203,-16.025266647338867
0,-1.3365924319667097,-1.3365924319667097,0.0,0.0,0.8846173566922338,231.5542750908105,69.9090134607156,24.844105403942258,89.66634368896484
0,25.590767017366122,25.590767017366122,0.0,0.0,0.9192321496845637,230.77713754540525,69.97270403821469,25.131801406489604,-18.851530075073242
0,2.438154488268431,2.438154488268431,0.0,0.0,0.9434625047791946,230.38856877270263,69.99181121146441,25.46589600710717,71.74456787109375
0,-0.2339319044512321,-0.2339319044512321,0.0,0.0,0.9604237533454362,230.1942843863513,69.99754336343932,25.639832672891384,81.4665298461914
0,-6.256823098119083,-6.256823098119083,0.0,0.0,0.9722966273418053,230.09714219317567,69.9992630090318,25.80084323097076,103.1849365234375
0,-13.821651052397797,-13.821651052397797,0.0,0.0,0.9806076391392637,230.04857109658784,69.99977890270954,24.84367102259208,127.47830963134766
0,-7.207839593495393,-7.207839593495393,0.0,0.0,0.9864253473974847,230.0242855482939,69.99993367081287,26.24401930228321,106.42390441894531
0,-4.387355600857102,-4.387355600857102,0.0,0.0,0.9904977431782392,230.01214277414695,69.99998010124386,26.339552786296288,95.6949691772461
0,-3.5365329706534583,-3.5365329706534583,0.0,0.0,0.9933484202247674,230.00607138707346,69.99999403037316,26.330475169116195,92.56075286865234
0,-2.0827699723963735,-2.0827699723963735,0.0,0.0,0.9953438941573372,230.00303569353673,69.99999820911195,26.18769869850833,86.42378234863281
0,-4.4244823153301995,-4.4244823153301995,0.0,0.0,0.996740725910136,230.00151784676837,69.99999946273358,26.562468438834706,96.00859069824219
0,-5.852707859756913,-5.852707859756913,0.0,0.0,0.9977185081370952,230.00075892338418,69.99999983882007,26.565236510906917,100.58491516113281
0,2.478495345753268,2.478495345753268,0.0,0.0,0.9984029556959666,230.0003794616921,69.99999995164602,26.563877312954045,70.57121276855469
0,-0.2102503761624503,-0.2102503761624503,0.0,0.0,0.9988820689871766,230.00018973084605,69.9999999854938,26.566038978157298,80.51580047607422
0,-4.76104992763332,-4.76104992763332,0.0,0.0,0.9992174482910237,230.00009486542302,69.99999999564814,25.33355127162194,93.59394836425781
